staName,APName,thpt,dist,time,handover
sta6,ap1,6.14,24.51,12.26,1
sta6,ap1,4.97,36.01,20.28,0
sta6,ap1,6.16,39.37,81.11,0
sta6,ap4,6.15,39.38,88.35,1
sta6,ap4,6.55,38.91,96.06,0
sta6,ap4,6.11,41.62,103.91,0
sta6,ap4,6.14,36.66,111.61,0
sta6,ap4,6.66,39.69,119.44,0
sta6,ap4,6.39,38.48,127.28,0
sta6,ap4,6.27,34.81,135.03,0
sta6,ap4,5.98,32.42,142.66,0
sta6,ap4,6.52,40.15,150.38,0
sta6,ap4,6.94,36.12,157.97,0
sta6,ap2,6.24,29.42,165.66,1
sta6,ap2,6.00,38.62,173.36,0
sta6,ap2,6.76,40.31,181.18,0
sta6,ap2,5.97,23.53,189.02,0
sta6,ap2,6.41,26.89,197.33,0
sta6,ap2,6.14,26.46,205.57,0
sta6,ap2,6.31,19.59,213.71,0
sta6,ap2,6.07,14.09,221.87,0
sta6,ap2,6.05,23.96,230.44,0
sta6,ap2,6.16,22.4,239.05,0
sta6,ap2,6.31,20.67,247.66,0
sta6,ap2,6.18,33.29,256.08,0
sta6,ap2,6.85,30.65,264.72,0
sta6,ap2,6.21,32.32,273.50,0
sta6,ap2,6.84,34.79,282.27,0
sta6,ap2,6.58,34.84,291.08,0
sta6,ap2,6.04,40.9,300.33,0
sta6,ap2,6.19,41.01,309.31,0
sta6,ap2,6.33,39.02,318.52,0
sta6,ap2,6.30,37.1,327.56,0
sta6,ap2,6.42,33.33,337.00,0
sta6,ap2,6.23,37.38,346.28,0
sta6,ap2,6.21,32.97,356.07,0
sta6,ap2,5.68,36.47,365.53,0
sta6,ap2,6.71,36.01,375.31,0
sta6,ap2,6.26,38.57,385.12,0
sta6,ap3,6.45,29.92,395.15,1
sta6,ap3,6.40,31.66,404.93,0
sta6,ap3,6.75,30.68,415.36,0
sta6,ap3,6.24,29.72,425.26,0
sta6,ap3,6.41,28.99,435.75,0
sta6,ap3,6.61,33.02,445.85,0
sta6,ap3,6.12,35.35,456.68,0
sta6,ap3,6.21,35.56,466.83,0
sta6,ap3,6.10,36.65,477.56,0
sta6,ap3,6.20,38.07,487.79,0
sta6,ap3,6.17,39.67,498.61,0
