staName,APName,thpt,dist,time,handover
sta4,ap3,1.07,19.01,5.06,1
sta4,ap3,1.09,26.84,13.42,0
sta4,ap3,0.896,35.2,21.40,0
sta4,ap2,0.878,26.77,29.49,1
sta4,ap2,1.07,13.58,37.55,0
sta4,ap2,0.889,9.92,45.62,0
sta4,ap2,0.890,29.09,53.55,0
sta4,ap2,0.885,29.0,61.42,0
sta4,ap2,1.07,38.21,69.41,0
sta4,ap2,0.890,34.55,77.39,0
sta4,ap3,1.07,13.29,85.46,1
sta4,ap3,0.888,14.96,93.43,0
sta4,ap3,0.884,25.34,101.38,0
sta4,ap3,0.896,21.82,109.49,0
sta4,ap3,0.894,20.8,117.52,0
sta4,ap3,0.881,28.77,125.60,0
sta4,ap3,1.08,36.01,133.61,0
sta4,ap3,0.903,31.29,141.86,0
sta4,ap3,0.879,31.79,150.53,0
sta4,ap4,1.22,24.99,159.17,1
sta4,ap4,1.04,33.89,167.92,0
sta4,ap4,1.04,35.76,177.01,0
sta4,ap4,1.06,34.14,186.16,0
sta4,ap4,1.04,27.79,195.58,0
sta4,ap4,1.25,21.92,205.33,0
sta4,ap4,1.25,23.7,215.02,0
sta4,ap4,1.05,24.98,224.69,0
sta4,ap4,0.890,26.79,235.23,0
sta4,ap4,1.23,28.25,246.66,0
sta4,ap4,1.25,27.14,257.29,0
sta4,ap4,1.23,26.82,268.39,0
sta4,ap4,1.25,30.52,278.82,0
sta4,ap4,1.26,37.2,290.13,0
sta4,ap4,1.04,34.41,300.99,0
sta4,ap4,1.59,33.71,313.90,0
sta4,ap4,1.25,37.5,325.82,0
sta4,ap4,1.06,40.8,338.16,0
sta4,ap3,1.04,33.5,350.79,1
sta4,ap3,1.25,33.29,363.65,0
sta4,ap3,1.42,30.49,376.67,0
sta4,ap3,1.45,28.61,390.25,0
sta4,ap3,1.22,29.62,403.25,0
sta4,ap3,1.38,28.76,416.89,0
sta4,ap3,1.36,28.58,431.98,0
sta4,ap3,1.43,31.87,445.93,0
sta4,ap3,1.53,31.86,460.63,0
sta4,ap3,1.78,30.65,475.72,0
sta4,ap3,1.46,30.55,490.76,0
sta4,ap3,1.44,27.85,505.89,0
