thpt,ap_name,nosta,mcs,sinrval,time
3.13,1,3,1,61/70,1.40
1.56,1,2,1,59/70,2.92
2.46,1,2,1,59/70,4.22
1.61,1,2,1,54/70,5.71
2.41,1,2,1,54/70,7.20
1.65,1,2,1,55/70,8.77
2.46,1,2,1,56/70,10.12
1.58,1,3,1,56/70,11.62
2.49,1,3,1,55/70,12.75
1.63,1,2,1,53/70,14.32
2.17,1,2,1,53/70,15.63
1.88,1,2,1,53/70,16.93
2.00,1,2,1,53/70,18.36
1.83,1,2,1,53/70,19.70
2.11,1,2,1,53/70,21.20
1.80,1,2,1,53/70,22.71
2.09,1,2,1,54/70,24.21
1.88,1,2,1,56/70,25.75
2.16,1,2,1,56/70,27.26
1.80,1,3,1,55/70,28.80
2.09,1,2,1,55/70,30.30
1.97,1,2,1,55/70,31.85
2.08,1,2,1,54/70,33.39
2.00,1,2,1,54/70,35.01
2.32,1,2,1,54/70,36.61
2.39,1,2,1,57/70,38.10
2.39,1,3,1,56/70,39.50
2.19,1,3,1,58/70,41.06
2.47,1,3,1,59/70,42.55
2.20,1,3,1,60/70,44.12
2.53,1,3,1,58/70,45.62
2.24,1,3,1,57/70,47.20
2.60,1,3,1,57/70,48.68
2.25,1,3,1,58/70,50.26
2.63,1,3,1,61/70,51.73
2.20,1,3,1,61/70,53.31
2.66,1,3,1,59/70,54.80
2.31,1,3,1,58/70,56.43
2.54,1,3,1,59/70,58.00
2.53,1,3,1,59/70,59.58
2.48,1,3,1,58/70,61.14
2.45,1,3,1,58/70,62.71
2.54,1,3,1,58/70,64.37
2.54,1,3,1,58/70,65.93
2.48,1,3,1,56/70,67.63
2.55,1,3,1,56/70,69.36
2.54,1,3,1,55/70,70.98
2.54,1,3,1,56/70,72.69
2.58,1,3,1,55/70,74.35
2.55,1,3,1,56/70,76.05
2.53,1,3,1,56/70,77.79
2.56,1,3,1,57/70,79.63
2.55,1,3,1,57/70,81.42
2.54,1,3,1,58/70,83.23
2.56,1,3,1,59/70,85.02
2.55,1,3,1,57/70,86.81
2.47,1,3,1,59/70,88.62
2.47,1,3,1,57/70,90.46
2.55,1,3,1,57/70,92.29
2.56,1,3,1,58/70,94.26
2.49,1,3,1,58/70,96.18
2.55,1,3,1,57/70,98.00
2.48,1,3,1,57/70,99.92
2.54,1,3,1,58/70,101.81
2.56,1,3,1,59/70,103.81
2.49,1,3,1,58/70,105.81
2.55,1,3,1,57/70,107.72
2.50,1,3,1,57/70,109.73
2.54,1,3,1,57/70,111.73
2.55,1,3,1,58/70,113.69
2.79,1,3,1,59/70,115.85
2.55,1,3,1,59/70,117.94
2.47,1,3,1,60/70,120.05
2.54,1,3,1,61/70,122.16
2.79,1,3,1,62/70,124.25
3.12,1,3,1,59/70,126.39
2.79,1,3,1,58/70,128.43
3.13,1,3,1,60/70,130.66
2.55,1,3,1,60/70,132.86
2.48,1,3,1,60/70,135.13
2.46,1,3,1,61/70,137.54
2.48,1,3,1,61/70,139.77
2.50,1,3,1,61/70,142.00
3.13,1,3,1,60/70,144.02
2.49,1,3,1,58/70,146.20
2.79,1,3,1,58/70,148.63
2.77,1,3,1,60/70,150.87
2.73,1,3,1,62/70,153.68
3.13,1,3,1,60/70,155.88
