thpt,ap_name,nosta,mcs,sinrval,time
2.48,1,3,1,60/70,158.16
3.12,1,3,1,60/70,160.33
2.72,1,3,1,60/70,162.93
3.10,1,3,1,60/70,165.30
2.78,1,4,1,59/70,167.65
3.13,1,4,1,58/70,169.86
2.78,1,4,1,57/70,172.14
3.12,1,4,1,57/70,174.36
3.11,1,4,1,56/70,176.64
2.77,1,4,1,56/70,179.12
3.11,1,4,1,55/70,181.67
3.13,1,4,1,56/70,184.06
2.66,1,4,1,56/70,186.78
2.76,1,4,1,56/70,189.27
2.79,1,4,1,56/70,191.92
2.46,1,4,1,58/70,194.59
2.73,1,4,1,58/70,197.61
2.76,1,4,1,59/70,200.13
2.73,1,4,1,60/70,202.95
2.54,1,4,1,59/70,205.59
2.54,1,4,1,59/70,208.33
2.53,1,4,1,59/70,210.88
2.61,1,4,1,59/70,214.02
2.78,1,4,1,57/70,216.76
2.66,1,4,1,59/70,219.61
2.52,1,4,1,59/70,222.27
2.52,1,3,1,57/70,224.91
2.96,1,3,1,58/70,227.70
2.35,1,3,1,58/70,230.90
2.92,1,3,1,57/70,233.64
2.67,1,3,1,57/70,236.46
2.65,1,3,1,58/70,239.67
2.74,1,3,1,58/70,242.55
2.75,1,3,1,58/70,245.14
2.75,1,3,1,59/70,247.67
2.58,1,3,1,60/70,250.96
2.83,1,3,1,61/70,253.44
2.75,1,3,1,61/70,256.35
2.63,1,3,1,59/70,259.70
2.67,1,2,1,57/70,262.74
2.75,1,2,1,58/70,265.73
2.66,1,2,1,58/70,268.85
2.73,1,2,1,57/70,271.74
2.86,1,2,1,56/70,274.71
2.54,1,2,1,56/70,277.67
2.65,1,2,1,56/70,280.75
2.66,1,2,1,56/70,283.51
2.64,1,2,1,55/70,286.62
2.68,1,2,1,54/70,289.53
2.76,1,2,1,55/70,292.17
2.68,1,2,1,56/70,295.22
2.97,1,2,1,55/70,297.98
2.67,1,2,1,56/70,301.04
2.99,1,2,1,55/70,304.15
2.66,1,2,1,55/70,307.21
2.75,1,2,1,55/70,310.17
2.65,1,2,1,56/70,313.18
2.68,1,2,1,55/70,316.41
2.68,1,2,1,55/70,319.59
2.99,1,2,1,54/70,322.76
2.75,1,2,1,55/70,325.85
2.36,1,2,1,55/70,329.59
2.93,1,2,1,54/70,332.99
2.66,1,2,1,54/70,336.29
2.37,1,2,1,53/70,340.24
2.98,1,2,1,54/70,343.22
3.00,1,2,1,53/70,346.27
2.35,1,2,1,54/70,350.08
2.37,1,2,1,53/70,353.83
2.23,1,2,1,53/70,357.54
2.35,1,2,1,53/70,361.44
2.97,1,2,1,53/70,364.64
2.61,1,2,1,53/70,368.45
2.36,1,2,1,53/70,372.33
2.37,1,2,1,54/70,376.20
2.79,1,2,1,54/70,379.26
2.38,1,2,1,54/70,383.28
2.89,1,2,1,55/70,386.61
2.97,1,2,1,54/70,389.97
2.35,1,2,1,54/70,393.75
2.38,1,2,1,54/70,397.28
2.22,1,2,1,54/70,401.13
2.80,1,2,1,54/70,404.68
2.87,1,2,1,54/70,408.00
2.35,1,2,1,54/70,411.74
2.39,1,2,1,53/70,415.80
2.66,1,2,1,53/70,419.55
2.36,1,2,1,52/70,423.59
2.96,1,2,1,51/70,427.24
2.81,1,2,1,51/70,430.74
2.37,1,2,1,51/70,435.00
2.37,1,2,1,51/70,438.83
2.36,1,2,1,51/70,442.46
2.84,1,3,1,51/70,446.21
2.64,1,2,1,51/70,449.77
2.66,1,2,1,51/70,453.86
2.35,1,2,1,51/70,458.21
2.81,1,2,1,51/70,461.79
2.93,1,2,1,50/70,465.36
2.36,1,2,1,50/70,469.26
2.64,1,2,1,50/70,473.17
2.63,1,2,1,50/70,476.66
2.66,1,2,1,50/70,480.67
2.81,1,2,1,50/70,484.19
2.79,1,2,1,50/70,488.01
2.29,1,2,1,51/70,492.38
2.37,1,2,1,50/70,496.86
2.65,1,2,1,50/70,500.82
