staName,APName,thpt,dist,time,handover
sta3,ap2,9.37,14.7,17.73,1
sta3,ap2,9.25,14.7,25.54,0
sta3,ap2,9.86,14.7,33.83,0
sta3,ap2,9.54,14.7,41.66,0
sta3,ap2,9.12,14.7,49.75,0
sta3,ap2,9.78,14.7,57.74,0
sta3,ap2,10.1,15.07,65.75,0
sta3,ap2,9.31,37.54,74.22,0
sta3,ap3,9.27,27.94,82.36,1
sta3,ap3,10.0,41.13,90.66,0
sta3,ap3,8.99,33.3,98.85,0
sta3,ap3,9.11,19.93,107.16,0
sta3,ap3,9.03,34.77,115.35,0
sta3,ap3,9.31,27.43,123.68,0
sta3,ap3,9.10,15.76,132.05,0
sta3,ap3,8.94,19.23,139.97,0
sta3,ap3,8.55,28.58,148.20,0
sta3,ap3,9.71,17.49,156.41,0
sta3,ap3,10.2,14.17,165.37,0
sta3,ap3,10.1,17.11,174.58,0
sta3,ap3,10.2,20.77,183.72,0
sta3,ap3,9.62,21.45,193.28,0
sta3,ap3,9.54,20.91,203.24,0
sta3,ap3,10.3,21.23,213.04,0
sta3,ap3,10.3,24.01,223.63,0
sta3,ap3,9.31,25.25,234.13,0
sta3,ap3,8.89,29.34,244.79,0
sta3,ap3,10.5,29.36,256.05,0
sta3,ap3,9.40,33.25,267.56,0
sta3,ap3,9.56,36.53,279.02,0
sta3,ap3,9.64,35.64,291.31,0
sta3,ap3,10.5,35.77,303.24,0
sta3,ap3,9.67,40.93,315.54,0
sta3,ap3,10.0,40.56,328.20,0
sta3,ap4,9.36,33.54,341.33,1
sta3,ap4,10.4,33.37,354.74,0
sta3,ap4,10.3,34.58,367.65,0
sta3,ap4,9.87,35.68,381.70,0
sta3,ap4,9.62,36.4,395.46,0
sta3,ap4,10.6,38.44,409.47,0
sta3,ap4,9.58,39.72,423.76,0
sta3,ap4,9.79,36.27,438.60,0
sta3,ap4,10.3,36.77,453.76,0
sta3,ap4,8.96,38.02,469.63,0
sta3,ap4,8.85,38.45,485.09,0
sta3,ap4,9.47,40.56,501.10,0
