staName,APName,thpt,dist,time,handover
sta4,ap3,8.84,17.4,18.86,1
sta4,ap3,9.28,17.4,26.72,0
sta4,ap3,8.95,17.4,34.94,0
sta4,ap3,9.59,17.4,42.81,0
sta4,ap3,8.89,17.4,50.89,0
sta4,ap3,9.53,17.4,58.91,0
sta4,ap3,9.40,23.96,66.94,0
sta4,ap3,10.3,31.14,75.31,0
sta4,ap2,9.54,27.95,83.56,1
sta4,ap2,10.4,18.1,91.74,0
sta4,ap2,8.58,10.97,100.02,0
sta4,ap2,9.07,23.48,108.39,0
sta4,ap2,9.74,25.8,116.62,0
sta4,ap2,8.89,38.77,124.94,0
sta4,ap2,10.5,35.04,133.15,0
sta4,ap3,9.19,10.31,141.21,1
sta4,ap3,9.95,14.04,149.31,0
sta4,ap3,9.55,21.19,157.71,0
sta4,ap3,10.2,26.97,166.67,0
sta4,ap3,10.0,27.11,175.82,0
sta4,ap3,9.78,20.63,185.15,0
sta4,ap3,9.35,20.9,194.73,0
sta4,ap3,10.2,22.68,204.69,0
sta4,ap3,10.4,16.4,214.46,0
sta4,ap3,9.61,15.92,225.19,0
sta4,ap3,9.80,19.9,235.64,0
sta4,ap3,9.75,21.33,246.29,0
sta4,ap3,10.2,19.89,257.59,0
sta4,ap3,10.4,23.1,269.28,0
sta4,ap3,10.6,20.8,280.62,0
sta4,ap3,10.4,24.16,293.09,0
sta4,ap3,9.35,22.21,304.94,0
sta4,ap3,10.3,22.3,317.39,0
sta4,ap3,9.66,21.22,330.12,0
sta4,ap3,9.60,22.37,343.22,0
sta4,ap3,9.81,19.82,356.48,0
sta4,ap3,11.0,18.01,369.60,0
sta4,ap3,10.3,16.25,383.57,0
sta4,ap3,10.4,14.33,397.53,0
sta4,ap3,10.5,16.92,411.73,0
sta4,ap3,9.28,19.2,425.88,0
sta4,ap3,8.79,18.31,440.64,0
sta4,ap3,9.54,26.46,456.01,0
sta4,ap3,9.09,31.27,471.99,0
sta4,ap3,8.85,31.7,487.41,0
sta4,ap3,8.86,32.68,503.33,0
