staName,APName,thpt,dist,time,handover
sta6,ap1,8.82,28.12,21.10,1
sta6,ap1,9.76,28.12,29.24,0
sta6,ap1,9.34,28.12,37.18,0
sta6,ap1,9.19,28.12,45.01,0
sta6,ap1,10.0,28.12,53.25,0
sta6,ap1,8.63,28.12,61.25,0
sta6,ap1,9.55,28.82,69.35,0
sta6,ap1,9.03,36.86,77.82,0
sta6,ap4,9.16,15.78,85.93,1
sta6,ap4,9.75,10.83,94.06,0
sta6,ap4,9.77,19.67,102.47,0
sta6,ap4,9.23,27.81,110.62,0
sta6,ap1,8.75,21.79,118.96,1
sta6,ap1,9.25,37.05,127.31,0
sta6,ap1,9.50,39.19,135.47,0
sta6,ap4,9.36,41.5,143.64,1
sta6,ap4,10.0,37.95,151.54,0
sta6,ap4,10.1,40.56,160.27,0
sta6,ap4,9.60,38.05,169.30,0
sta6,ap3,10.3,35.19,178.43,1
sta6,ap3,9.71,38.05,187.81,0
sta6,ap3,9.35,31.95,197.70,0
sta6,ap3,10.8,32.89,207.43,0
sta6,ap3,9.75,32.68,217.55,0
sta6,ap3,9.72,32.02,228.19,0
sta6,ap3,10.1,35.11,238.64,0
sta6,ap3,10.5,29.41,249.57,0
sta6,ap3,10.4,33.87,260.72,0
sta6,ap3,10.1,30.6,272.46,0
sta6,ap3,10.2,31.46,284.04,0
sta6,ap3,9.33,32.85,296.40,0
sta6,ap3,9.87,29.54,308.53,0
sta6,ap3,10.3,32.11,320.97,0
sta6,ap3,10.4,31.84,333.85,0
sta6,ap3,10.3,30.4,347.15,0
sta6,ap3,9.27,31.71,360.06,0
sta6,ap3,9.87,33.21,373.51,0
sta6,ap3,10.1,32.19,387.50,0
sta6,ap3,8.91,31.98,401.72,0
sta6,ap3,9.02,34.26,415.85,0
sta6,ap3,8.76,35.89,430.28,0
sta6,ap3,10.1,35.73,445.04,0
sta6,ap3,8.20,33.29,460.58,0
sta6,ap3,8.86,36.36,476.26,0
sta6,ap3,9.38,32.11,491.75,0
