thpt,ap_name,nosta,mcs,sinrval,time
6.03,1,3,4,61/70,2.47
6.15,1,2,4,59/70,4.00
4.05,1,2,4,62/70,5.17
5.55,1,2,4,59/70,6.45
5.77,1,2,4,54/70,7.64
5.77,1,2,4,54/70,8.86
5.00,1,2,4,55/70,10.24
6.25,1,2,4,57/70,11.39
4.71,1,2,4,55/70,12.61
6.21,1,3,4,55/70,13.72
5.04,1,2,4,53/70,14.89
5.91,1,2,4,54/70,16.09
6.00,1,2,4,54/70,17.48
4.85,1,2,4,53/70,18.88
5.22,1,2,4,54/70,19.99
6.57,1,2,4,54/70,21.30
4.69,1,2,4,53/70,22.55
5.45,1,2,4,53/70,23.81
6.11,1,2,4,54/70,24.95
5.23,1,2,4,55/70,26.27
5.73,1,2,4,56/70,27.72
5.28,1,2,4,56/70,29.03
6.17,1,3,4,55/70,30.18
6.06,1,2,4,55/70,31.36
5.25,1,2,4,55/70,32.82
6.59,1,2,4,55/70,34.22
6.13,1,2,4,55/70,35.52
6.13,1,2,4,55/70,36.82
6.79,1,2,4,53/70,38.21
6.02,1,2,4,55/70,39.61
7.10,1,2,4,54/70,40.97
5.52,1,2,4,56/70,42.41
6.99,1,2,4,59/70,43.86
5.90,1,3,4,56/70,45.30
6.38,1,3,4,58/70,46.86
6.62,1,3,4,58/70,48.34
6.31,1,3,4,60/70,49.88
7.15,1,3,4,60/70,51.27
7.16,1,3,4,60/70,52.80
7.23,1,3,4,61/70,54.24
6.43,1,3,4,59/70,55.83
6.56,1,3,4,58/70,57.44
6.87,1,3,4,58/70,59.01
6.38,1,3,4,57/70,60.60
7.22,1,3,4,57/70,62.10
6.60,1,3,4,57/70,63.74
6.53,1,3,4,58/70,65.38
6.76,1,3,4,60/70,66.95
6.56,1,3,4,59/70,68.67
6.36,1,3,4,61/70,70.46
7.02,1,3,4,60/70,72.06
6.34,1,3,4,59/70,73.84
6.61,1,3,4,58/70,75.66
6.87,1,3,4,59/70,77.42
6.37,1,3,4,59/70,79.21
7.10,1,3,4,58/70,80.88
6.64,1,3,4,58/70,82.68
6.80,1,3,4,58/70,84.52
6.68,1,3,4,58/70,86.32
6.79,1,3,4,58/70,88.15
6.48,1,3,4,58/70,90.03
6.95,1,3,4,57/70,91.81
7.15,1,3,4,56/70,93.65
6.43,1,3,4,56/70,95.61
6.64,1,3,4,55/70,97.58
6.91,1,3,4,55/70,99.45
6.64,1,3,4,55/70,101.36
6.34,1,3,4,55/70,103.38
6.25,1,3,4,56/70,105.29
6.46,1,3,4,55/70,107.48
6.46,1,3,4,56/70,109.55
6.52,1,3,4,57/70,111.64
6.66,1,4,4,57/70,113.78
7.27,1,3,4,58/70,115.75
6.53,1,3,4,58/70,117.77
6.76,1,3,4,59/70,119.85
6.39,1,3,4,58/70,122.06
6.13,1,3,4,57/70,124.14
6.40,1,3,4,58/70,126.28
6.58,1,3,4,57/70,128.57
6.78,1,3,4,57/70,130.68
6.62,1,3,4,57/70,132.82
7.32,1,3,4,57/70,134.96
6.24,1,3,4,58/70,137.31
6.04,1,3,4,59/70,139.50
7.04,1,3,4,57/70,141.67
6.46,1,3,4,57/70,143.96
6.29,1,3,4,57/70,146.04
6.25,1,3,4,59/70,148.43
7.29,1,3,4,59/70,150.59
6.25,1,3,4,59/70,152.78
7.22,1,3,4,58/70,155.29
7.08,1,3,4,57/70,157.61
6.26,1,3,4,58/70,159.87
6.15,1,3,4,57/70,162.04
6.27,1,3,4,58/70,164.51
6.11,1,3,4,58/70,167.15
6.14,1,3,4,59/70,169.60
6.62,1,3,4,58/70,171.87
6.28,1,3,4,59/70,174.27
6.14,1,3,4,60/70,176.64
6.28,1,3,4,61/70,179.11
6.24,1,3,4,62/70,181.32
6.24,1,3,4,61/70,184.07
5.86,1,3,4,59/70,186.65
6.28,1,3,4,58/70,189.16
6.01,1,3,4,59/70,191.58
6.16,1,3,4,61/70,194.23
6.04,1,3,4,60/70,196.93
6.27,1,3,4,60/70,199.66
6.25,1,3,4,61/70,202.36
7.29,1,3,4,60/70,204.94
5.57,1,3,4,61/70,207.71
7.00,1,3,4,60/70,210.32
6.53,1,3,4,60/70,212.98
6.13,1,3,4,59/70,215.68
6.66,1,3,4,57/70,218.74
5.95,1,3,4,59/70,221.46
6.24,1,3,4,60/70,224.30
6.20,1,3,4,62/70,227.24
6.07,1,3,4,60/70,230.19
6.21,1,3,4,60/70,233.08
6.08,1,3,4,60/70,236.04
6.77,1,3,4,60/70,238.85
6.16,1,3,4,61/70,241.68
5.99,1,4,4,59/70,244.65
6.68,1,4,4,59/70,247.58
6.14,1,4,4,58/70,250.41
6.38,1,4,4,57/70,253.34
6.24,1,4,4,57/70,256.38
5.61,1,4,4,56/70,259.42
7.01,1,4,4,56/70,262.34
6.83,1,4,4,56/70,265.28
6.45,1,4,4,56/70,268.54
6.50,1,4,4,56/70,271.50
6.32,1,4,4,56/70,274.80
6.45,1,4,4,56/70,278.06
7.02,1,4,4,56/70,281.04
6.26,1,4,4,57/70,284.09
6.25,1,4,4,58/70,286.99
6.44,1,4,4,58/70,290.06
6.77,1,4,4,59/70,293.21
6.48,1,4,4,60/70,296.42
6.14,1,4,4,59/70,299.76
6.54,1,4,4,59/70,302.85
6.44,1,4,4,58/70,306.35
6.03,1,4,4,58/70,309.72
6.53,1,4,4,58/70,312.98
7.34,1,4,4,57/70,316.31
6.78,1,4,4,59/70,319.35
6.36,1,4,4,59/70,322.80
6.24,1,3,4,57/70,325.93
6.11,1,3,4,58/70,329.33
6.72,1,3,4,58/70,332.66
5.74,1,3,4,58/70,336.00
6.31,1,3,4,57/70,339.50
6.14,1,3,4,57/70,342.74
5.98,1,3,4,57/70,346.02
5.75,1,3,4,58/70,349.40
6.67,1,3,4,58/70,352.93
6.32,1,3,4,58/70,356.73
6.17,1,3,4,59/70,360.13
6.05,1,3,4,60/70,363.58
5.87,1,3,4,62/70,366.92
6.21,1,3,4,61/70,370.62
6.22,1,3,4,59/70,374.25
5.81,1,2,4,57/70,378.02
6.24,1,2,4,58/70,381.83
6.45,1,2,4,57/70,385.80
6.05,1,2,4,57/70,389.53
5.91,1,2,4,57/70,393.70
6.50,1,2,4,56/70,397.51
6.12,1,2,4,56/70,400.91
5.83,1,2,4,56/70,405.13
6.12,1,2,4,56/70,409.06
6.33,1,2,4,54/70,412.94
6.16,1,2,4,55/70,416.70
5.92,1,2,4,55/70,420.66
5.88,1,2,4,55/70,424.47
6.06,1,2,4,55/70,428.17
5.94,1,2,4,55/70,432.54
6.25,1,2,4,55/70,436.26
5.73,1,2,4,55/70,440.27
6.47,1,2,4,55/70,444.75
6.98,1,2,4,56/70,448.74
6.27,1,2,4,55/70,452.62
6.08,1,2,4,55/70,456.58
6.50,1,2,4,54/70,460.66
6.14,1,2,4,54/70,464.86
6.14,1,2,4,54/70,468.45
6.18,1,2,4,55/70,472.18
6.29,1,2,4,54/70,475.80
6.51,1,2,4,54/70,479.48
5.69,1,2,4,54/70,483.14
6.43,1,2,4,54/70,486.77
5.93,1,2,4,54/70,490.86
6.15,1,2,4,54/70,495.24
6.16,1,2,4,54/70,499.18
5.07,1,2,4,53/70,503.63
