staName,APName,thpt,dist,time,handover
sta1,ap1,10.3,27.44,15.45,1
sta1,ap1,8.74,27.44,23.37,0
sta1,ap1,9.63,27.44,31.60,0
sta1,ap1,9.34,27.44,39.31,0
sta1,ap1,9.68,27.44,47.32,0
sta1,ap1,10.3,27.44,55.49,0
sta1,ap1,10.3,27.44,63.50,0
sta1,ap1,8.84,8.33,71.81,0
sta1,ap1,8.85,18.05,80.04,0
sta1,ap1,9.90,23.71,88.28,0
sta1,ap1,9.21,20.4,96.34,0
sta1,ap1,9.89,13.55,104.74,0
sta1,ap1,9.33,11.67,112.96,0
sta1,ap1,8.88,12.13,121.32,0
sta1,ap1,8.73,18.26,129.66,0
sta1,ap1,9.81,34.58,137.78,0
sta1,ap1,9.00,25.75,145.84,0
sta1,ap1,9.26,40.85,153.86,0
sta1,ap4,9.94,20.2,162.76,1
sta1,ap4,9.64,20.26,171.93,0
sta1,ap4,10.2,21.85,181.09,0
sta1,ap4,10.3,28.57,190.46,0
sta1,ap4,9.68,29.71,200.52,0
sta1,ap4,9.58,24.57,210.19,0
sta1,ap4,9.74,31.14,220.66,0
sta1,ap4,9.26,29.96,231.17,0
sta1,ap4,10.4,32.5,241.65,0
sta1,ap4,9.40,34.18,252.80,0
sta1,ap4,9.62,40.36,264.07,0
sta1,ap4,10.0,37.95,275.64,0
sta1,ap4,9.98,36.16,287.58,0
sta1,ap4,10.5,34.61,299.79,0
sta1,ap4,9.49,36.7,312.02,0
sta1,ap4,10.3,37.14,324.64,0
sta1,ap4,9.34,35.6,337.51,0
sta1,ap4,10.8,30.76,351.08,0
sta1,ap4,8.78,30.63,363.78,0
sta1,ap4,9.67,33.96,377.60,0
sta1,ap4,10.1,37.4,391.44,0
sta1,ap4,9.60,34.55,405.56,0
sta1,ap4,9.94,33.81,419.83,0
sta1,ap4,8.99,35.57,434.31,0
sta1,ap4,9.57,30.57,449.23,0
sta1,ap4,8.77,28.38,465.11,0
sta1,ap4,8.87,30.16,480.53,0
sta1,ap4,8.68,30.02,496.30,0
