staName,APName,thpt,dist,time
sta5,ap3,5.04,27.45,12.16
sta5,ap3,4.93,29.42,19.01
sta5,ap3,4.96,28.32,26.92
sta5,ap3,5.63,24.62,34.64
sta5,ap3,4.73,22.56,40.05
sta5,ap3,5.18,33.13,46.44
sta5,ap3,5.41,46.65,67.95
sta5,ap3,5.46,36.82,76.01
sta5,ap3,5.24,26.23,83.66
sta5,ap3,5.39,31.46,91.24
sta5,ap3,5.45,29.7,98.97
sta5,ap3,5.30,18.95,106.62
sta5,ap3,4.96,28.63,114.11
sta5,ap3,4.94,24.71,122.11
sta5,ap3,5.74,25.36,129.50
sta5,ap3,5.68,17.78,137.52
sta5,ap3,6.07,25.19,145.36
sta5,ap3,4.66,36.26,153.27
sta5,ap3,5.40,50.65,161.66
sta5,ap3,4.93,53.75,169.84
sta5,ap3,5.77,54.07,178.62
sta5,ap3,6.09,55.54,186.87
sta5,ap3,5.96,53.81,195.43
sta5,ap3,5.23,51.0,204.18
sta5,ap3,5.55,54.7,213.14
sta5,ap3,5.43,57.55,222.37
sta5,ap3,5.53,55.24,231.76
sta5,ap3,6.27,50.58,241.03
sta5,ap3,6.31,44.01,250.34
sta5,ap3,6.47,46.09,259.75
sta5,ap3,6.43,43.59,269.43
sta5,ap3,6.06,42.99,279.38
sta5,ap3,6.04,44.8,289.47
sta5,ap3,6.58,42.09,299.56
sta5,ap3,6.08,40.91,309.61
sta5,ap3,6.17,35.7,319.69
sta5,ap3,6.13,35.68,330.08
sta5,ap3,6.06,34.75,340.61
sta5,ap3,5.62,30.82,351.67
sta5,ap3,6.85,34.73,362.34
sta5,ap3,6.66,36.85,373.15
sta5,ap3,6.19,38.19,384.37
sta5,ap3,6.49,39.8,395.64
sta5,ap3,6.79,42.99,407.00
sta5,ap3,6.10,42.22,418.39
sta5,ap3,6.59,40.78,429.51
sta5,ap3,6.10,44.3,440.60
sta5,ap3,6.25,40.64,451.92
sta5,ap3,6.19,41.35,464.03
sta5,ap3,6.17,43.53,476.28
sta5,ap3,6.60,37.49,488.13
sta5,ap3,5.83,35.83,500.38
