staName,APName,thpt,dist,time
sta7,ap4,4.90,24.92,14.47
sta7,ap4,5.17,19.27,21.17
sta7,ap4,7.10,38.22,29.04
sta7,ap4,6.73,20.12,48.60
sta7,ap4,6.28,11.88,55.02
sta7,ap4,6.28,18.63,62.40
sta7,ap4,6.27,9.38,70.18
sta7,ap4,6.20,12.73,78.28
sta7,ap4,5.95,16.3,85.80
sta7,ap4,6.26,20.05,93.33
sta7,ap4,5.95,22.99,101.11
sta7,ap4,6.53,22.92,108.85
sta7,ap4,5.91,38.46,116.28
sta7,ap4,6.50,48.19,124.36
sta7,ap4,6.42,56.72,131.78
sta7,ap4,6.68,50.15,139.76
sta7,ap4,6.13,48.57,147.69
sta7,ap4,6.28,42.64,155.63
sta7,ap4,6.73,51.63,164.02
sta7,ap4,6.96,54.73,172.17
sta7,ap4,7.10,60.45,180.91
sta7,ap4,6.52,61.8,189.29
sta7,ap4,6.31,56.8,197.92
sta7,ap4,6.15,54.48,206.70
sta7,ap4,6.19,56.51,215.77
sta7,ap4,6.41,57.01,225.05
sta7,ap4,6.91,63.21,234.30
sta7,ap4,7.13,62.91,243.57
sta7,ap4,6.49,67.49,252.98
sta7,ap4,6.20,68.9,262.30
sta7,ap4,6.63,64.91,272.18
sta7,ap4,6.20,60.7,282.24
sta7,ap4,6.29,60.65,292.36
sta7,ap4,6.20,65.98,302.43
sta7,ap4,6.31,65.14,312.50
sta7,ap4,6.20,61.78,322.59
sta7,ap4,6.31,61.52,333.28
sta7,ap4,6.31,65.57,343.68
sta7,ap4,6.05,58.66,354.62
sta7,ap4,6.63,53.02,365.34
sta7,ap4,5.70,54.32,376.48
sta7,ap4,6.64,55.4,387.53
sta7,ap4,6.21,55.35,398.90
sta7,ap4,5.80,52.93,410.04
sta7,ap4,6.24,54.33,421.37
sta7,ap4,6.70,53.63,432.67
sta7,ap4,6.14,54.67,443.91
sta7,ap4,5.93,57.68,455.15
sta7,ap4,6.37,56.35,467.31
sta7,ap4,6.77,58.08,479.57
sta7,ap4,5.77,61.29,491.46
sta7,ap4,6.77,64.91,503.80
