staName,APName,thpt,dist,time,handover
sta7,ap4,1.07,9.66,8.64,1
sta7,ap4,1.24,21.55,16.91,0
sta7,ap4,0.880,29.01,25.03,0
sta7,ap4,0.889,34.55,33.08,0
sta7,ap4,0.896,20.51,41.17,0
sta7,ap4,1.09,13.69,49.15,0
sta7,ap4,1.06,22.45,57.04,0
sta7,ap4,1.24,8.26,64.96,0
sta7,ap4,0.898,15.42,72.99,0
sta7,ap4,0.878,15.35,81.01,0
sta7,ap4,0.891,19.03,89.00,0
sta7,ap4,1.24,22.25,96.98,0
sta7,ap4,1.16,24.65,105.07,0
sta7,ap4,1.25,37.31,113.05,0
sta7,ap3,0.878,29.61,121.11,1
sta7,ap3,0.882,14.68,129.22,0
sta7,ap3,0.876,15.02,137.26,0
sta7,ap3,1.05,22.38,145.68,0
sta7,ap3,1.41,22.59,154.30,0
sta7,ap3,1.39,38.68,162.99,0
sta7,ap3,1.40,38.31,171.88,0
sta7,ap3,1.05,41.39,181.09,0
sta7,ap2,1.04,35.65,190.32,1
sta7,ap2,1.42,31.92,200.00,0
sta7,ap2,1.06,30.64,209.46,0
sta7,ap2,1.40,32.09,219.33,0
sta7,ap2,1.47,29.84,229.62,0
sta7,ap2,1.49,28.05,241.16,0
sta7,ap2,1.44,34.73,251.61,0
sta7,ap2,1.55,31.78,262.52,0
sta7,ap2,1.42,33.23,272.87,0
sta7,ap2,1.48,39.2,284.05,0
sta7,ap2,1.42,39.88,294.90,0
sta7,ap2,1.66,40.05,307.03,0
sta7,ap2,1.67,38.44,319.71,0
sta7,ap2,1.66,38.7,332.03,0
sta7,ap2,1.69,41.57,344.49,0
sta7,ap2,1.69,35.67,357.00,0
sta7,ap2,1.66,32.63,370.09,0
sta7,ap2,1.67,32.37,383.29,0
sta7,ap2,1.69,29.46,396.39,0
sta7,ap2,1.69,28.79,410.15,0
sta7,ap2,1.70,24.12,423.91,0
sta7,ap2,1.47,23.05,438.67,0
sta7,ap2,1.47,21.88,453.51,0
sta7,ap2,1.77,20.8,467.90,0
sta7,ap2,1.48,18.21,482.59,0
sta7,ap2,1.46,19.89,497.85,0
sta7,ap2,1.48,19.45,513.24,0
