staName,APName,thpt,dist,time,handover
sta7,ap4,9.03,14.97,22.21,1
sta7,ap4,9.33,14.97,30.44,0
sta7,ap4,9.37,14.97,38.25,0
sta7,ap4,8.67,14.97,46.17,0
sta7,ap4,8.70,14.97,54.40,0
sta7,ap4,9.63,14.97,62.40,0
sta7,ap4,9.71,9.44,70.53,0
sta7,ap4,10.5,24.84,78.92,0
sta7,ap4,9.25,32.27,87.03,0
sta7,ap4,9.26,26.28,95.24,0
sta7,ap4,8.97,19.18,103.58,0
sta7,ap4,10.0,28.09,111.76,0
sta7,ap4,9.81,14.64,120.19,0
sta7,ap4,9.47,14.99,128.48,0
sta7,ap4,9.51,17.11,136.65,0
sta7,ap4,9.40,19.91,144.72,0
sta7,ap4,9.38,23.42,152.68,0
sta7,ap4,9.77,23.02,161.51,0
sta7,ap4,9.71,22.56,170.60,0
sta7,ap4,10.0,32.27,179.71,0
sta7,ap4,9.74,34.16,189.16,0
sta7,ap4,9.58,31.9,199.10,0
sta7,ap4,9.41,38.74,208.76,0
sta7,ap4,10.3,38.26,219.09,0
sta7,ap4,9.56,36.36,229.71,0
sta7,ap4,9.75,39.11,240.10,0
sta7,ap4,10.2,41.62,251.19,0
sta7,ap3,9.34,31.62,262.44,1
sta7,ap3,10.6,29.19,274.06,0
sta7,ap3,9.98,29.11,285.94,0
sta7,ap3,8.95,26.91,298.01,0
sta7,ap3,10.4,28.97,310.27,0
sta7,ap3,9.08,33.89,322.82,0
sta7,ap3,10.7,33.95,335.64,0
sta7,ap3,9.92,28.69,349.17,0
sta7,ap3,10.4,27.42,361.85,0
sta7,ap3,9.16,28.8,375.59,0
sta7,ap3,10.0,24.22,389.47,0
sta7,ap3,10.4,20.88,403.59,0
sta7,ap3,9.58,17.44,417.82,0
sta7,ap3,8.55,18.64,432.38,0
sta7,ap3,9.76,16.56,447.15,0
sta7,ap3,8.30,16.7,462.89,0
sta7,ap3,8.81,17.72,478.42,0
sta7,ap3,8.13,13.51,494.21,0
sta7,ap3,8.94,14.2,508.49,0
