thpt,ap_name,nosta,mcs,sinrval,time
8.31,3,1,5,47/70,85.14
7.93,3,1,5,47/70,86.94
8.93,3,1,5,47/70,88.61
8.38,3,1,5,47/70,90.27
8.87,3,1,5,47/70,91.97
8.40,3,1,5,47/70,93.74
8.85,3,1,5,48/70,95.57
8.29,3,1,5,48/70,97.46
8.64,3,1,5,48/70,99.33
8.94,3,1,5,47/70,101.14
8.33,3,1,5,48/70,103.00
8.75,3,1,5,48/70,105.03
8.35,3,1,5,48/70,106.94
8.27,3,1,5,48/70,108.84
8.90,3,1,5,48/70,110.75
8.48,3,1,5,48/70,112.71
8.84,3,1,5,48/70,114.60
8.63,3,1,5,49/70,116.66
7.75,3,1,5,49/70,118.84
9.20,3,1,5,48/70,120.82
7.80,3,1,5,48/70,122.87
8.79,3,1,5,49/70,124.76
8.16,3,1,5,49/70,126.66
9.28,3,1,5,49/70,128.72
8.59,3,1,5,49/70,130.83
7.89,3,1,5,49/70,132.94
8.54,3,1,5,49/70,135.09
8.61,3,1,5,48/70,137.23
8.71,3,1,5,48/70,139.38
8.69,3,1,5,48/70,141.48
8.60,3,1,5,48/70,143.66
8.27,3,1,5,49/70,146.08
8.48,3,1,5,49/70,148.38
8.85,3,1,5,49/70,150.72
9.27,3,1,5,49/70,152.86
7.93,3,1,5,50/70,155.24
8.44,3,1,5,50/70,157.79
8.27,3,1,5,49/70,159.99
8.74,3,1,5,49/70,162.26
8.30,3,1,5,49/70,164.66
9.31,3,1,5,49/70,166.86
8.73,3,1,5,49/70,169.27
8.96,3,1,5,49/70,171.50
7.84,3,1,5,49/70,173.94
9.19,3,1,5,49/70,176.22
8.72,3,1,5,49/70,178.49
8.56,3,1,5,49/70,181.04
8.60,3,1,5,49/70,183.36
8.59,3,1,5,49/70,185.87
8.67,3,1,5,50/70,188.34
8.89,3,1,5,50/70,190.94
8.10,3,1,5,50/70,193.54
8.57,3,1,5,51/70,196.03
8.01,3,1,5,51/70,198.60
8.10,3,1,5,51/70,201.17
9.14,3,1,5,51/70,203.58
8.41,3,1,5,52/70,206.25
8.96,3,1,5,51/70,208.93
8.34,3,1,5,51/70,211.50
8.29,3,1,5,52/70,214.00
8.21,3,1,5,52/70,216.52
8.05,3,1,5,51/70,219.18
8.77,3,1,5,52/70,221.64
9.22,3,1,5,52/70,224.25
8.55,3,1,5,52/70,226.94
8.15,3,1,5,52/70,229.47
8.34,3,1,5,53/70,232.02
9.07,3,1,5,53/70,235.02
7.90,3,1,5,53/70,237.80
8.67,3,1,5,53/70,240.46
8.05,3,1,5,53/70,243.30
8.60,3,1,5,53/70,246.22
8.16,3,1,5,53/70,249.00
8.27,3,1,5,53/70,251.76
8.98,3,1,5,52/70,254.66
7.82,3,1,5,52/70,257.42
8.88,3,1,5,52/70,260.30
8.61,3,1,5,52/70,263.52
7.90,3,1,5,52/70,266.35
8.38,3,1,5,52/70,269.10
7.97,3,1,5,52/70,272.06
8.39,3,1,5,52/70,274.95
8.82,3,1,5,51/70,277.85
8.88,3,1,5,50/70,280.71
8.27,3,1,5,50/70,283.46
7.88,3,1,5,50/70,286.60
7.83,3,1,5,50/70,289.72
7.93,3,1,5,50/70,292.98
8.83,3,1,5,50/70,296.10
8.34,3,1,5,50/70,299.36
8.42,3,1,5,50/70,302.60
8.77,3,1,5,50/70,305.62
8.67,3,1,5,50/70,308.65
8.57,3,1,5,50/70,312.07
8.71,3,1,5,50/70,314.92
8.42,3,1,5,50/70,317.97
9.02,3,1,5,49/70,321.19
8.63,3,1,5,50/70,324.22
8.89,3,1,5,50/70,327.33
8.44,3,1,5,50/70,330.56
8.44,3,1,5,50/70,333.71
8.02,3,1,5,50/70,336.89
8.71,3,1,5,50/70,340.31
8.50,3,1,5,51/70,343.95
7.91,3,1,5,52/70,347.26
8.31,3,1,5,51/70,350.71
8.60,3,1,5,52/70,353.91
8.57,3,1,5,52/70,357.49
9.07,3,1,5,51/70,360.90
7.81,3,1,5,51/70,364.08
8.70,3,1,5,51/70,367.85
8.30,3,1,5,51/70,371.20
7.87,3,1,5,51/70,374.69
8.53,3,1,5,51/70,378.16
8.25,3,1,5,51/70,381.90
8.45,3,1,5,51/70,385.35
8.38,3,1,5,51/70,389.16
8.53,3,1,5,50/70,392.79
8.06,3,1,5,50/70,396.58
8.86,3,1,5,51/70,400.12
7.69,3,1,5,51/70,403.78
8.24,3,1,5,51/70,407.42
9.03,3,1,5,51/70,411.04
8.00,3,1,5,51/70,414.90
7.74,3,1,5,50/70,418.94
8.34,3,1,5,51/70,422.40
7.93,3,1,5,51/70,426.42
9.04,3,1,5,51/70,430.08
7.70,3,1,5,51/70,433.78
7.70,3,1,5,52/70,437.42
8.23,3,1,5,52/70,441.32
8.51,3,1,5,52/70,444.93
8.35,3,1,5,52/70,448.83
8.09,3,1,5,52/70,452.64
8.35,3,1,5,52/70,455.98
8.06,3,1,5,52/70,459.75
8.40,3,1,5,52/70,463.64
8.35,3,1,5,52/70,467.77
8.01,3,1,5,52/70,471.27
8.34,3,1,5,52/70,475.37
8.28,3,1,5,53/70,479.63
8.81,3,1,5,54/70,483.31
7.78,3,1,5,54/70,487.06
7.94,3,1,5,53/70,490.90
8.57,3,1,5,52/70,494.88
8.34,3,1,5,52/70,498.90
7.84,3,1,5,52/70,503.03
