thpt,ap_name,nosta,mcs,sinrval,time
7.99,3,2,5,51/70,3.17
7.28,3,2,5,50/70,4.46
7.17,3,2,5,49/70,5.60
8.60,3,2,5,51/70,6.81
8.61,3,2,5,51/70,8.09
7.67,3,2,5,51/70,9.27
7.22,3,2,5,51/70,10.45
8.45,3,2,5,50/70,11.66
7.56,3,2,5,52/70,12.89
8.51,3,2,5,50/70,14.16
7.22,3,2,5,51/70,15.31
7.24,3,2,5,52/70,16.42
8.33,3,2,5,54/70,17.50
7.90,3,2,5,54/70,18.80
7.43,3,1,5,55/70,20.02
6.93,3,2,5,53/70,21.20
7.84,3,2,5,52/70,22.40
7.54,3,2,5,51/70,23.62
7.38,3,2,5,50/70,24.86
8.07,3,2,5,50/70,26.01
8.08,3,2,5,50/70,27.15
9.15,3,2,5,50/70,28.32
7.53,3,2,5,51/70,29.53
7.21,3,2,5,52/70,30.87
7.81,3,1,5,53/70,32.03
7.73,3,1,5,53/70,33.27
8.10,3,1,5,55/70,34.45
7.49,3,1,5,55/70,35.70
7.53,3,2,5,53/70,36.91
7.40,3,2,5,53/70,38.14
8.09,3,2,5,53/70,39.34
7.99,3,2,5,51/70,40.52
8.10,3,2,5,49/70,41.63
7.20,3,2,5,51/70,42.79
8.72,3,1,5,50/70,43.97
6.93,3,1,5,50/70,45.16
8.27,3,1,5,49/70,46.31
8.27,3,1,5,48/70,47.49
8.54,3,1,5,47/70,48.75
8.17,3,1,5,47/70,50.25
8.45,3,1,5,47/70,51.65
8.91,3,1,5,47/70,53.06
8.20,3,1,5,47/70,54.50
8.54,3,1,5,47/70,56.02
8.19,3,1,5,48/70,57.42
8.85,3,1,5,48/70,58.89
8.76,3,1,5,49/70,60.38
8.78,3,1,5,47/70,61.86
8.96,3,1,5,47/70,63.32
8.74,3,1,5,46/70,64.85
8.48,3,1,5,46/70,66.32
8.16,3,1,5,46/70,67.75
8.86,3,1,5,46/70,69.20
8.66,3,1,5,46/70,70.70
8.77,3,1,5,47/70,72.15
8.75,3,1,5,46/70,73.75
8.13,3,1,5,47/70,75.37
8.52,3,1,5,47/70,77.00
8.72,3,1,5,47/70,78.58
8.17,3,1,5,47/70,80.20
8.82,3,1,5,47/70,81.70
8.88,3,1,5,47/70,83.38
