staName,APName,thpt,dist,time,handover
sta7,ap4,3.54,17.09,13.41,1
sta7,ap4,5.59,20.27,21.50,0
sta7,ap4,6.55,35.56,27.34,0
sta7,ap4,6.23,40.96,35.22,0
sta7,ap4,6.52,16.94,48.07,0
sta7,ap4,6.21,11.32,54.46,0
sta7,ap4,5.89,27.39,60.92,0
sta7,ap4,6.63,24.41,67.33,0
sta7,ap4,6.15,12.49,74.82,0
sta7,ap4,5.45,18.32,82.33,0
sta7,ap4,6.67,20.87,89.58,0
sta7,ap4,5.61,20.19,97.27,0
sta7,ap4,5.90,24.1,105.06,0
sta7,ap4,5.51,27.3,112.88,0
sta7,ap4,5.42,37.06,120.72,0
sta7,ap3,4.84,25.84,128.46,1
sta7,ap3,5.46,15.8,136.25,0
sta7,ap3,5.45,14.71,143.89,0
sta7,ap3,5.26,24.57,151.65,0
sta7,ap3,5.02,39.85,159.23,0
sta7,ap3,5.96,37.0,166.80,0
sta7,ap3,5.24,25.07,174.47,0
sta7,ap3,5.20,32.08,182.34,0
sta7,ap3,6.31,41.51,190.37,0
sta7,ap3,5.71,41.94,198.67,0
sta7,ap3,6.17,35.17,206.82,0
sta7,ap3,5.94,27.78,214.99,0
sta7,ap3,6.12,34.59,223.33,0
sta7,ap3,6.70,36.88,231.79,0
sta7,ap3,6.39,40.85,240.45,0
sta7,ap3,5.86,36.74,248.96,0
sta7,ap3,6.41,39.89,257.52,0
sta7,ap3,6.65,41.98,266.12,0
sta7,ap3,6.65,35.18,274.95,0
sta7,ap3,6.15,34.54,283.63,0
sta7,ap3,6.66,38.55,292.53,0
sta7,ap3,6.32,35.6,301.84,0
sta7,ap3,6.53,33.22,310.82,0
sta7,ap3,6.90,38.69,319.96,0
sta7,ap2,6.51,23.96,329.09,1
sta7,ap2,6.25,26.16,338.53,0
sta7,ap2,6.20,26.78,347.75,0
sta7,ap2,6.42,26.44,357.67,0
sta7,ap2,6.65,24.55,367.07,0
sta7,ap2,6.94,26.36,376.86,0
sta7,ap2,6.24,29.72,386.96,0
sta7,ap2,6.81,27.44,396.79,0
sta7,ap2,6.46,25.05,406.75,0
sta7,ap2,6.96,21.01,416.93,0
sta7,ap2,7.00,24.13,427.18,0
sta7,ap2,6.03,25.84,437.42,0
sta7,ap2,5.92,28.58,447.59,0
sta7,ap2,6.92,31.35,458.27,0
sta7,ap2,6.53,31.76,468.64,0
sta7,ap2,5.99,33.22,479.19,0
sta7,ap2,6.85,30.56,489.56,0
sta7,ap2,6.15,30.72,500.50,0
