thpt,ap_name,nosta,mcs,sinrval,time
6.31,2,3,4,50/70,2.50
5.45,2,3,4,49/70,3.76
4.85,2,3,4,48/70,4.98
5.62,2,3,4,48/70,6.29
5.42,2,3,4,49/70,7.59
5.56,2,3,4,48/70,8.82
6.17,2,3,4,48/70,9.96
4.61,2,3,4,49/70,11.21
6.24,2,3,4,49/70,12.31
4.70,2,3,4,50/70,13.50
5.24,2,3,4,50/70,14.83
5.66,2,3,4,50/70,16.02
5.14,2,3,4,50/70,17.36
6.36,2,3,4,48/70,18.64
4.78,2,3,4,49/70,19.85
5.29,2,3,4,51/70,21.17
5.46,2,3,4,50/70,22.46
5.39,2,3,4,50/70,23.75
5.94,2,3,4,50/70,24.94
5.86,2,3,4,48/70,26.12
5.05,2,3,4,48/70,27.58
5.86,2,3,4,49/70,28.78
5.54,2,3,4,49/70,30.01
5.84,2,3,4,50/70,31.24
5.75,2,3,4,50/70,32.53
4.93,2,3,4,51/70,33.98
6.08,2,3,4,52/70,35.28
6.08,2,3,4,51/70,36.85
5.92,2,3,4,50/70,38.31
6.26,2,3,4,52/70,39.86
6.86,2,3,4,52/70,41.28
6.52,2,3,4,53/70,42.86
6.58,2,3,4,54/70,44.32
5.94,2,3,4,54/70,45.85
6.04,2,3,4,54/70,47.46
6.24,2,3,4,55/70,49.02
6.28,2,3,4,54/70,50.55
5.82,2,3,4,55/70,52.05
6.99,2,3,4,54/70,53.54
6.41,2,3,4,53/70,55.15
6.59,2,3,4,54/70,56.68
6.80,2,3,4,55/70,58.32
6.81,2,3,4,56/70,59.89
6.71,2,3,4,56/70,61.48
6.95,2,3,4,56/70,63.04
6.84,2,3,4,57/70,64.69
6.80,2,3,4,58/70,66.39
6.35,2,3,4,56/70,68.07
6.36,2,3,4,54/70,69.86
6.40,2,3,4,55/70,71.68
6.72,2,3,4,56/70,73.39
6.31,2,3,4,58/70,75.11
6.18,2,3,4,58/70,76.97
6.15,2,3,4,57/70,78.86
6.04,2,3,4,59/70,80.67
6.73,2,3,4,59/70,82.49
5.94,2,3,4,58/70,84.35
6.44,2,3,4,60/70,86.17
6.94,2,3,4,58/70,87.96
7.32,2,3,4,56/70,89.86
6.46,2,3,4,56/70,91.87
6.57,2,3,4,56/70,93.84
6.17,2,3,4,55/70,95.76
6.55,2,3,4,54/70,97.77
6.95,2,3,4,53/70,99.68
6.32,2,3,4,53/70,101.63
6.33,2,3,4,53/70,103.72
6.89,2,3,4,53/70,105.68
6.56,2,3,4,54/70,107.78
6.52,2,3,4,54/70,109.88
6.69,2,3,4,53/70,111.90
6.74,2,3,4,54/70,114.04
6.58,2,3,4,54/70,116.17
6.39,2,3,4,52/70,118.36
6.11,2,3,4,53/70,120.32
6.20,2,3,4,54/70,122.48
7.00,2,3,4,54/70,124.66
6.71,2,3,4,54/70,126.61
6.13,2,3,4,54/70,128.74
7.15,2,3,4,53/70,130.92
6.20,2,3,4,52/70,133.26
6.64,2,3,4,51/70,135.58
6.58,2,3,4,51/70,137.90
6.24,2,3,4,52/70,140.00
7.17,2,3,4,52/70,142.10
