thpt,ap_name,nosta,mcs,sinrval,time
6.20,2,2,4,48/70,2.33
4.91,2,2,4,48/70,3.49
5.88,2,2,4,49/70,4.79
5.46,2,2,4,48/70,6.08
5.67,2,2,4,49/70,7.29
5.34,2,2,4,49/70,8.58
5.12,2,2,4,50/70,9.94
6.12,2,2,4,50/70,11.27
4.94,2,2,4,50/70,12.65
5.77,2,2,4,50/70,13.85
5.15,2,2,4,49/70,15.22
5.84,2,2,4,50/70,16.68
6.09,2,2,4,50/70,18.02
5.17,2,2,4,50/70,19.16
5.01,2,2,4,49/70,20.54
5.59,2,2,4,49/70,21.77
5.12,2,2,4,49/70,23.09
5.80,2,2,4,48/70,24.28
5.45,2,2,4,49/70,25.56
5.97,2,2,4,49/70,26.83
5.06,2,2,4,50/70,27.95
6.27,2,2,4,51/70,29.08
6.07,2,2,4,53/70,30.29
4.62,2,2,4,52/70,31.60
6.13,2,2,4,51/70,32.99
6.29,2,2,4,51/70,34.44
6.09,2,2,4,52/70,35.97
6.78,2,2,4,53/70,37.34
5.65,2,2,4,54/70,38.82
7.17,2,2,4,54/70,40.21
6.42,2,2,4,54/70,41.71
7.04,2,2,4,55/70,43.11
5.54,2,2,4,54/70,44.64
6.00,2,2,4,55/70,46.25
7.21,2,2,4,56/70,47.68
6.06,2,2,4,56/70,49.10
6.21,2,2,4,56/70,50.73
6.72,2,2,4,58/70,52.26
6.27,2,2,4,55/70,53.88
6.62,2,2,4,54/70,55.40
7.01,2,2,4,56/70,56.92
6.39,2,2,4,58/70,58.53
6.80,2,2,4,57/70,60.08
6.40,2,2,4,59/70,61.71
6.78,2,2,4,58/70,63.39
6.67,2,2,4,59/70,65.02
6.66,2,2,4,58/70,66.66
7.18,2,2,4,57/70,68.17
7.16,2,2,4,57/70,69.97
6.25,2,2,4,56/70,72.04
6.87,2,2,4,55/70,73.77
6.44,2,2,4,53/70,75.51
6.58,2,2,4,52/70,77.31
6.58,2,2,4,53/70,79.06
7.30,2,2,4,54/70,81.00
6.71,2,2,4,53/70,82.93
6.56,2,2,4,53/70,84.77
6.48,2,2,4,54/70,86.64
7.18,2,2,4,53/70,88.58
6.39,2,2,4,53/70,90.58
