staName,APName,thpt,dist,time,handover
sta2,ap3,9.15,39.66,16.53,0
sta2,ap3,9.29,39.66,24.44,0
sta2,ap3,10.0,39.66,32.71,0
sta2,ap3,9.44,39.66,40.48,0
sta2,ap3,9.13,39.66,48.54,0
sta2,ap3,8.90,39.66,56.61,0
sta2,ap2,8.82,22.94,64.63,1
sta2,ap1,9.26,39.41,73.00,1
sta2,ap1,9.26,37.88,81.14,0
sta2,ap1,8.81,40.52,89.54,0
sta2,ap3,9.81,33.6,97.60,1
sta2,ap3,9.40,39.51,105.93,0
sta2,ap3,9.80,41.8,114.11,0
sta2,ap2,8.80,23.19,122.46,1
sta2,ap2,9.52,16.92,130.84,0
sta2,ap2,9.42,17.08,138.84,0
sta2,ap2,9.31,29.41,147.02,0
sta2,ap2,10.1,28.42,155.15,0
sta2,ap2,9.78,28.24,164.03,0
sta2,ap2,9.93,32.89,173.19,0
sta2,ap2,10.4,27.4,182.43,0
sta2,ap2,9.88,33.12,191.90,0
sta2,ap2,10.1,34.24,201.86,0
sta2,ap2,9.54,40.07,211.68,0
sta2,ap2,9.95,38.93,222.12,0
sta2,ap1,9.25,33.84,232.58,1
sta2,ap1,10.3,37.27,243.15,0
sta2,ap1,10.4,39.46,254.30,0
sta2,ap4,10.1,39.92,265.82,1
sta2,ap4,10.4,38.56,277.19,0
sta2,ap3,9.33,37.68,289.41,1
sta2,ap3,9.73,36.56,301.52,0
sta2,ap3,9.46,36.1,313.81,0
sta2,ap3,10.9,37.69,326.46,0
sta2,ap3,10.1,35.92,339.47,0
sta2,ap3,9.24,32.55,352.93,0
sta2,ap3,9.51,34.62,365.72,0
sta2,ap3,9.38,38.36,379.59,0
sta2,ap3,10.0,38.29,393.43,0
sta2,ap3,9.83,38.33,407.45,0
sta2,ap3,10.1,39.12,421.84,0
sta2,ap3,8.60,39.61,436.61,0
sta2,ap3,10.1,39.35,451.43,0
sta2,ap3,9.13,40.22,467.39,0
sta2,ap3,8.80,38.08,482.75,0
sta2,ap3,8.70,37.87,498.57,0
