staName,APName,thpt,dist,time,handover
sta3,ap2,0.878,16.96,3.83,1
sta3,ap2,1.09,29.98,12.30,0
sta3,ap2,2.03,35.38,20.22,0
sta3,ap3,1.92,31.75,28.33,1
sta3,ap3,1.88,39.94,36.37,0
sta3,ap3,1.63,27.35,44.46,0
sta3,ap3,1.63,21.66,52.39,0
sta3,ap3,1.75,37.06,60.29,0
sta3,ap3,1.89,24.33,68.26,0
sta3,ap3,1.91,17.04,76.26,0
sta3,ap3,1.74,21.7,84.31,0
sta3,ap3,1.75,26.04,92.27,0
sta3,ap3,1.63,16.88,100.23,0
sta3,ap3,1.75,19.34,108.34,0
sta3,ap3,2.03,31.23,116.35,0
sta3,ap3,1.90,35.67,124.41,0
sta3,ap3,1.76,31.24,132.49,0
sta3,ap3,1.99,25.56,140.67,0
sta3,ap3,1.59,29.91,149.23,0
sta3,ap3,1.50,24.89,157.91,0
sta3,ap3,1.80,23.89,166.63,0
sta3,ap3,1.77,32.49,175.63,0
sta3,ap3,1.79,26.22,184.87,0
sta3,ap3,1.53,24.9,194.21,0
sta3,ap3,1.50,21.07,203.97,0
sta3,ap3,1.53,22.86,213.46,0
sta3,ap3,1.52,25.2,223.25,0
sta3,ap3,1.63,24.67,233.75,0
sta3,ap3,1.52,26.18,245.18,0
sta3,ap3,1.65,29.62,255.79,0
sta3,ap3,1.66,32.91,266.70,0
sta3,ap3,1.65,31.15,277.30,0
sta3,ap3,1.70,34.75,288.51,0
sta3,ap3,1.65,34.95,299.30,0
sta3,ap3,1.64,34.59,311.63,0
sta3,ap3,1.64,29.61,324.19,0
sta3,ap3,1.66,29.59,336.47,0
sta3,ap3,1.68,33.1,349.12,0
sta3,ap3,1.70,30.22,361.87,0
sta3,ap3,1.63,28.74,374.79,0
sta3,ap3,1.63,30.31,387.96,0
sta3,ap3,1.69,32.31,401.37,0
sta3,ap3,1.69,32.57,414.95,0
sta3,ap3,1.77,30.75,429.13,0
sta3,ap3,1.68,30.47,443.85,0
sta3,ap3,1.77,36.05,458.75,0
sta3,ap3,1.45,37.42,473.33,0
sta3,ap3,1.46,40.58,488.27,0
sta3,ap1,1.47,40.95,503.29,1
