staName,APName,thpt,dist,time
sta4,ap3,6.00,27.84,10.81
sta4,ap3,5.79,28.81,17.84
sta4,ap2,4.82,33.64,25.76
sta4,ap2,4.72,21.5,33.42
sta4,ap2,6.23,13.58,38.85
sta4,ap2,5.71,14.21,45.34
sta4,ap2,6.27,11.16,52.92
sta4,ap2,6.20,28.39,59.19
sta4,ap2,5.87,31.58,66.69
sta4,ap2,5.57,39.69,74.78
sta4,ap2,5.44,38.46,82.57
sta4,ap2,6.01,53.9,89.97
sta4,ap2,5.72,52.57,97.73
sta4,ap2,6.05,53.99,105.33
sta4,ap2,6.15,53.57,112.97
sta4,ap2,5.80,55.79,120.72
sta4,ap2,6.27,55.67,128.32
sta4,ap2,5.45,60.72,136.32
sta4,ap2,5.33,59.55,144.24
sta4,ap2,5.65,65.12,152.05
sta4,ap2,5.58,56.74,160.34
sta4,ap2,6.03,65.52,168.58
sta4,ap2,6.28,64.33,177.09
sta4,ap2,5.50,61.48,185.62
sta4,ap2,6.45,57.26,194.13
sta4,ap2,6.13,56.38,202.93
sta4,ap2,6.17,45.38,211.71
sta4,ap2,6.38,40.97,220.84
sta4,ap2,6.08,41.83,230.30
sta4,ap2,6.03,43.11,239.50
sta4,ap2,6.28,34.72,248.71
sta4,ap2,6.01,38.97,258.26
sta4,ap2,6.13,36.81,267.79
sta4,ap2,6.25,38.84,277.92
sta4,ap2,6.20,41.02,287.96
sta4,ap2,5.65,44.04,297.97
sta4,ap2,6.01,48.94,308.02
sta4,ap2,5.86,54.43,318.08
sta4,ap2,5.69,48.98,328.27
sta4,ap2,6.25,50.47,339.00
sta4,ap2,5.40,49.37,349.95
sta4,ap2,5.46,48.7,360.68
sta4,ap2,5.43,50.13,371.35
sta4,ap2,5.73,51.79,382.69
sta4,ap2,6.00,52.65,393.75
sta4,ap2,5.86,50.81,405.17
sta4,ap2,5.28,53.48,416.43
sta4,ap2,6.25,53.63,427.69
sta4,ap2,5.29,54.43,438.86
sta4,ap2,5.62,53.71,450.22
sta4,ap2,5.69,56.83,462.20
sta4,ap2,5.03,59.7,474.33
sta4,ap2,5.12,54.55,486.16
sta4,ap2,5.22,55.48,498.33
