thpt,ap_name,nosta,mcs,sinrval,time
7.69,1,1,5,48/70,2.37
7.29,1,1,5,49/70,3.49
7.85,1,2,5,49/70,4.69
8.27,1,2,5,50/70,5.90
7.93,1,2,5,51/70,7.05
8.03,1,2,5,52/70,8.21
8.32,1,2,5,53/70,9.45
7.40,1,3,5,51/70,10.75
8.18,1,3,5,50/70,11.90
8.02,1,3,5,51/70,13.06
7.21,1,3,5,50/70,14.31
7.82,1,3,5,49/70,15.50
7.67,1,3,5,49/70,16.69
7.87,1,3,5,49/70,17.89
7.45,1,3,5,48/70,19.11
7.40,1,3,5,47/70,20.35
7.95,1,3,5,48/70,21.50
7.71,1,3,5,48/70,22.70
8.28,1,3,5,48/70,23.80
7.77,1,3,5,47/70,25.01
7.00,1,3,5,47/70,26.17
8.48,1,3,5,47/70,27.36
7.14,1,3,5,46/70,28.50
8.43,1,3,5,46/70,29.77
7.73,1,3,5,46/70,30.98
8.41,1,3,5,45/70,32.28
7.99,1,3,5,45/70,33.64
7.92,1,3,5,45/70,35.09
8.78,1,3,5,46/70,36.42
9.31,1,3,5,46/70,37.77
8.72,1,3,5,45/70,39.24
8.30,1,3,5,45/70,40.60
9.03,1,3,5,46/70,41.96
8.98,1,3,5,46/70,43.41
8.78,1,3,5,45/70,44.88
8.75,1,3,5,45/70,46.36
8.24,1,3,5,45/70,47.75
8.18,1,3,5,46/70,49.16
8.90,1,3,5,46/70,50.66
8.35,1,3,5,46/70,52.22
8.82,1,3,5,46/70,53.73
8.36,1,3,5,47/70,55.18
8.68,1,3,5,47/70,56.75
8.79,1,3,5,48/70,58.32
8.71,1,3,5,48/70,59.88
8.78,1,3,5,48/70,61.51
8.72,1,3,5,48/70,63.11
8.25,1,3,5,48/70,64.75
8.52,1,3,5,49/70,66.45
8.25,1,3,5,50/70,68.14
8.76,1,3,5,50/70,69.77
9.38,1,3,5,49/70,71.39
8.33,1,3,5,49/70,73.03
8.28,1,3,5,49/70,74.63
8.22,1,3,5,49/70,76.43
8.87,1,3,5,50/70,78.20
8.27,1,3,5,50/70,80.03
8.54,1,3,5,50/70,81.80
8.74,1,3,5,50/70,83.57
8.25,1,3,5,49/70,85.30
8.22,1,3,5,49/70,87.10
8.93,1,3,5,49/70,89.02
8.88,1,3,5,49/70,90.99
8.31,1,3,5,49/70,92.85
8.36,1,3,5,50/70,94.73
8.31,1,3,5,49/70,96.48
8.19,1,3,5,50/70,98.39
9.00,1,3,5,50/70,100.27
7.84,1,3,5,51/70,102.46
