staName,APName,thpt,dist,time,handover
sta5,ap4,0.889,28.48,6.26,1
sta5,ap3,0.888,28.6,14.60,1
sta5,ap3,0.892,20.53,22.57,0
sta5,ap3,0.888,36.07,30.67,0
sta5,ap3,0.882,22.65,38.74,0
sta5,ap3,0.879,37.09,46.85,0
sta5,ap3,0.880,41.34,54.78,0
sta5,ap2,0.902,34.85,62.56,1
sta5,ap2,0.884,39.69,70.60,0
sta5,ap3,0.884,23.25,78.60,1
sta5,ap3,0.889,31.06,86.65,0
sta5,ap3,0.891,28.3,94.61,0
sta5,ap3,0.899,19.17,102.57,0
sta5,ap3,0.884,28.98,110.68,0
sta5,ap3,0.893,21.33,118.71,0
sta5,ap3,0.891,26.71,126.76,0
sta5,ap3,0.877,23.74,134.83,0
sta5,ap3,0.879,23.69,143.16,0
sta5,ap3,0.909,31.73,151.79,0
sta5,ap3,0.880,40.7,160.43,0
sta5,ap2,0.901,38.62,169.27,1
sta5,ap2,0.882,39.11,178.39,0
sta5,ap1,0.883,31.75,187.59,1
sta5,ap1,0.891,32.37,196.89,0
sta5,ap1,0.890,33.48,206.75,0
sta5,ap1,1.21,37.38,216.52,0
sta5,ap1,1.23,33.16,226.12,0
sta5,ap1,1.23,30.84,237.29,0
sta5,ap1,1.23,31.91,248.11,0
sta5,ap1,0.886,31.06,258.81,0
sta5,ap1,1.25,33.68,269.87,0
sta5,ap1,1.22,38.0,280.40,0
sta5,ap1,1.25,37.93,291.80,0
sta5,ap1,1.29,34.78,302.99,0
sta5,ap1,1.24,39.23,315.57,0
sta5,ap1,1.27,37.26,327.93,0
sta5,ap1,1.32,38.07,340.22,0
sta5,ap1,1.21,34.74,352.85,0
sta5,ap1,1.43,35.14,365.90,0
sta5,ap1,1.43,38.35,378.98,0
sta5,ap1,1.25,37.78,392.03,0
sta5,ap1,1.32,38.85,405.52,0
sta5,ap1,1.30,39.88,419.30,0
sta5,ap1,1.28,40.13,434.16,0
sta5,ap2,1.45,30.15,448.46,1
sta5,ap2,1.25,37.12,463.00,0
sta5,ap2,1.03,31.89,477.79,0
sta5,ap2,1.32,32.93,493.10,0
sta5,ap2,1.19,33.38,508.29,0
