staName,APName,thpt,dist,time,handover
sta2,ap2,6.51,18.22,56.70,1
sta2,ap2,6.73,16.84,63.09,0
sta2,ap2,5.97,25.54,69.46,0
sta2,ap2,6.09,22.65,76.94,0
sta2,ap2,6.62,22.55,84.52,0
sta2,ap2,6.72,18.87,91.76,0
sta2,ap2,6.42,33.73,99.53,0
sta2,ap2,6.59,30.17,107.28,0
sta2,ap2,6.22,31.94,115.14,0
sta2,ap1,6.42,40.33,122.95,1
sta2,ap2,6.25,35.03,130.71,1
sta2,ap2,6.71,39.32,138.44,0
sta2,ap2,6.50,36.66,146.11,0
sta2,ap2,6.21,32.58,153.73,0
sta2,ap2,6.31,27.8,161.50,0
sta2,ap2,6.61,24.71,168.99,0
sta2,ap2,6.47,36.64,176.69,0
sta2,ap4,6.23,39.72,184.58,1
sta2,ap1,6.45,34.48,192.78,1
sta2,ap1,6.33,39.02,201.11,0
sta2,ap2,6.99,26.76,209.12,1
sta2,ap2,6.23,26.4,217.24,0
sta2,ap2,6.28,26.6,225.75,0
sta2,ap2,6.22,25.98,234.33,0
sta2,ap2,6.55,25.88,242.95,0
sta2,ap2,6.79,27.95,251.44,0
sta2,ap2,6.39,33.98,260.07,0
sta2,ap2,6.77,36.12,268.61,0
sta2,ap2,6.18,36.76,277.58,0
sta2,ap2,6.71,34.65,286.14,0
sta2,ap2,6.30,32.43,295.25,0
sta2,ap2,6.71,29.4,304.47,0
sta2,ap2,6.47,29.42,313.43,0
sta2,ap2,6.61,31.39,322.59,0
sta2,ap2,6.90,32.48,331.85,0
sta2,ap2,5.99,30.55,341.21,0
sta2,ap2,6.18,26.1,350.65,0
sta2,ap2,6.75,30.99,360.41,0
sta2,ap2,6.33,27.25,370.05,0
sta2,ap2,6.87,26.71,379.65,0
sta2,ap2,5.87,28.61,389.79,0
sta2,ap2,6.85,25.84,399.63,0
sta2,ap2,6.26,25.72,409.84,0
sta2,ap2,6.18,26.7,419.82,0
sta2,ap2,6.43,32.47,430.34,0
sta2,ap2,6.19,30.31,440.32,0
sta2,ap2,6.45,31.31,450.78,0
sta2,ap2,5.80,28.61,461.32,0
sta2,ap2,6.94,27.07,471.68,0
sta2,ap2,6.44,29.77,482.22,0
sta2,ap2,6.09,30.08,492.73,0
