staName,APName,thpt,dist,time,handover
sta6,ap4,1.23,32.35,7.47,1
sta6,ap4,0.898,34.98,15.76,0
sta6,ap4,0.726,19.31,23.81,0
sta6,ap4,0.895,12.66,31.89,0
sta6,ap4,0.713,16.88,39.99,0
sta6,ap4,0.912,18.96,48.01,0
sta6,ap4,0.965,30.07,55.90,0
sta6,ap4,0.878,39.93,63.81,0
sta6,ap4,0.719,29.38,71.82,0
sta6,ap4,0.888,39.89,79.82,0
sta6,ap2,0.882,40.56,87.83,1
sta6,ap4,0.878,37.96,95.83,1
sta6,ap4,0.918,38.61,103.70,0
sta6,ap4,0.896,39.85,111.86,0
sta6,ap4,0.726,38.8,119.92,0
sta6,ap4,0.895,33.81,128.00,0
sta6,ap4,0.892,33.25,136.04,0
sta6,ap4,0.885,37.48,144.42,0
sta6,ap4,1.22,34.49,153.02,0
sta6,ap4,0.885,37.92,161.74,0
sta6,ap2,0.893,40.05,170.61,1
sta6,ap2,1.23,23.47,179.76,0
sta6,ap2,1.24,29.0,188.98,0
sta6,ap2,1.23,29.43,198.70,0
sta6,ap2,1.42,30.53,208.09,0
sta6,ap2,1.23,28.84,217.92,0
sta6,ap2,1.41,31.12,227.74,0
sta6,ap2,1.21,35.48,239.17,0
sta6,ap2,1.22,35.69,249.56,0
sta6,ap2,1.29,34.82,260.70,0
sta6,ap2,1.40,40.16,271.37,0
sta6,ap2,1.39,39.9,281.96,0
sta6,ap3,1.40,24.25,293.33,1
sta6,ap3,1.25,23.92,305.02,0
sta6,ap3,1.28,24.52,317.70,0
sta6,ap3,1.22,24.65,330.05,0
sta6,ap3,1.32,21.07,342.47,0
sta6,ap3,1.32,23.01,354.89,0
sta6,ap3,1.29,23.55,368.05,0
sta6,ap3,1.20,24.3,381.18,0
sta6,ap3,1.32,25.34,394.19,0
sta6,ap3,1.31,27.94,407.97,0
sta6,ap3,1.31,29.34,421.53,0
sta6,ap3,1.19,29.05,436.42,0
sta6,ap3,1.19,32.32,451.03,0
sta6,ap3,1.20,36.71,465.39,0
sta6,ap3,1.31,39.53,480.13,0
sta6,ap3,1.19,40.11,495.56,0
sta6,ap3,1.19,40.49,510.89,0
