thpt,ap_name,nosta,mcs,sinrval,time
6.77,2,2,4,53/70,3.39
6.19,2,2,4,53/70,4.52
4.00,2,2,4,52/70,5.69
6.14,2,2,4,51/70,7.02
4.87,2,2,4,51/70,8.42
6.07,2,2,4,49/70,9.57
5.32,2,1,4,49/70,10.88
5.84,2,1,4,49/70,12.10
5.18,2,1,4,50/70,13.21
5.80,2,1,4,49/70,14.40
5.66,2,1,4,49/70,15.60
5.14,2,1,4,50/70,16.76
5.61,2,1,4,50/70,18.00
5.67,2,2,4,48/70,19.23
5.95,2,2,4,48/70,20.48
5.06,2,2,4,48/70,21.82
6.29,2,2,4,48/70,22.92
4.96,2,2,4,48/70,24.10
5.90,2,2,4,47/70,25.32
5.14,2,2,4,47/70,26.45
5.23,2,2,4,46/70,27.77
6.12,2,2,4,45/70,29.07
4.89,2,2,4,45/70,30.48
6.56,2,2,4,45/70,31.74
5.90,2,2,4,45/70,32.92
5.40,2,2,4,45/70,34.36
6.15,2,2,4,45/70,35.82
6.04,2,2,4,45/70,37.35
6.44,2,2,4,46/70,38.83
7.17,2,2,4,46/70,40.20
6.15,2,2,4,45/70,41.62
6.12,2,2,4,45/70,43.14
7.21,2,2,4,45/70,44.53
6.32,2,2,4,46/70,46.14
6.31,2,2,4,45/70,47.74
5.99,2,2,4,45/70,49.38
6.70,2,2,4,45/70,50.88
6.83,2,2,4,46/70,52.35
6.25,2,2,4,45/70,53.93
6.23,2,2,4,45/70,55.56
6.95,2,2,4,45/70,57.04
6.60,2,2,4,45/70,58.65
6.27,2,2,4,45/70,60.25
6.02,2,2,4,45/70,61.76
6.21,2,2,4,46/70,63.47
6.15,2,2,4,46/70,64.98
6.54,2,2,4,46/70,66.68
7.23,2,2,4,46/70,68.22
6.40,2,2,4,46/70,69.96
6.20,2,2,4,47/70,71.76
6.46,2,2,4,47/70,73.47
6.43,2,2,4,47/70,75.24
6.19,2,2,4,47/70,77.11
6.10,2,2,4,48/70,79.03
6.48,2,2,4,48/70,80.82
6.73,2,2,4,48/70,82.64
7.17,2,2,4,49/70,84.42
7.18,2,2,4,49/70,86.13
7.07,2,2,4,49/70,87.86
6.31,2,2,4,50/70,89.79
6.44,2,2,4,51/70,91.75
6.44,2,2,4,50/70,93.64
6.80,2,2,4,51/70,95.45
7.08,2,2,4,52/70,97.32
6.34,2,2,4,52/70,99.30
6.00,2,2,4,52/70,101.30
6.52,2,2,4,52/70,103.25
6.47,2,2,4,51/70,105.23
6.59,2,2,4,52/70,107.29
6.65,2,2,4,52/70,109.39
7.29,2,2,4,52/70,111.32
6.49,2,2,4,52/70,113.56
6.53,2,2,4,52/70,115.58
6.84,2,2,4,52/70,117.71
5.92,2,2,4,52/70,119.80
6.92,2,2,4,52/70,121.86
6.68,2,2,4,52/70,123.95
6.10,2,2,4,51/70,126.12
6.16,2,2,4,51/70,128.34
6.55,2,2,4,51/70,130.41
6.68,2,2,4,51/70,132.62
6.35,2,2,4,51/70,134.94
6.20,2,2,4,51/70,137.09
6.23,2,2,4,52/70,139.15
6.81,2,2,4,53/70,141.47
6.02,2,2,4,53/70,143.67
6.14,2,2,4,53/70,145.75
6.84,2,2,4,53/70,147.89
6.76,2,2,4,53/70,150.12
6.25,2,2,4,52/70,152.56
6.35,2,2,4,51/70,154.75
7.01,2,2,4,51/70,156.89
6.03,2,2,4,51/70,159.39
6.33,2,2,4,51/70,161.82
6.35,2,2,4,51/70,164.25
6.19,2,2,4,51/70,166.48
6.25,2,2,4,50/70,168.73
6.36,2,2,4,50/70,171.18
6.29,2,2,4,49/70,173.44
5.65,2,2,4,49/70,175.87
6.23,2,2,4,49/70,178.55
6.44,2,2,4,49/70,181.15
6.09,2,2,4,49/70,183.86
6.15,2,2,4,49/70,186.34
6.27,2,2,4,50/70,188.74
6.99,2,2,4,50/70,191.03
6.23,2,2,4,49/70,193.73
6.31,2,2,4,49/70,196.33
6.91,2,2,4,49/70,198.72
5.97,2,2,4,49/70,201.19
7.27,2,2,4,49/70,203.68
5.96,2,2,4,49/70,206.41
6.22,2,2,4,50/70,209.05
6.19,2,2,4,50/70,211.70
6.28,2,2,4,49/70,214.35
6.22,2,2,4,49/70,217.07
6.00,2,2,4,49/70,219.73
6.25,2,2,4,49/70,222.76
6.61,2,2,4,48/70,225.58
6.23,2,2,4,48/70,228.23
6.11,2,2,4,48/70,230.81
6.03,2,2,4,48/70,233.72
6.31,2,2,4,48/70,236.90
6.10,2,2,4,48/70,240.13
5.97,2,2,4,48/70,243.26
6.08,2,2,4,48/70,246.29
6.82,2,2,4,48/70,249.10
6.04,2,2,4,48/70,251.87
6.21,2,2,4,48/70,254.70
5.95,2,2,4,48/70,257.69
6.78,2,2,4,48/70,260.80
5.99,2,2,4,48/70,263.75
7.18,2,2,4,48/70,266.70
6.20,2,2,4,48/70,269.46
6.34,2,2,4,48/70,272.47
6.19,2,2,4,47/70,275.68
6.73,2,2,4,47/70,278.60
6.19,2,2,4,47/70,281.76
6.76,2,2,4,47/70,284.93
6.56,2,2,4,47/70,288.20
6.01,2,2,4,47/70,291.13
6.73,2,2,4,48/70,294.24
6.15,2,2,4,47/70,297.31
6.43,2,2,4,47/70,300.33
6.14,2,2,4,47/70,303.08
5.64,2,2,4,47/70,306.40
6.96,2,2,4,47/70,309.59
5.95,2,2,4,47/70,312.90
6.84,2,2,4,47/70,316.04
5.98,2,2,4,47/70,319.16
6.24,2,2,4,47/70,322.30
6.67,2,2,4,47/70,325.54
6.56,2,2,4,46/70,328.87
6.13,2,2,4,46/70,331.77
6.10,2,2,4,46/70,335.19
6.16,2,2,4,46/70,338.66
6.10,2,2,4,47/70,341.75
6.39,2,2,4,47/70,345.02
6.69,2,2,4,46/70,348.39
5.91,2,2,4,46/70,351.76
6.10,2,2,4,46/70,354.88
6.11,2,2,4,46/70,358.42
6.18,2,2,4,46/70,361.75
6.26,2,2,4,46/70,364.96
6.07,2,2,4,46/70,368.43
6.22,2,2,4,46/70,371.66
6.01,2,2,4,46/70,375.05
6.33,2,2,4,46/70,378.57
6.00,2,2,4,46/70,381.85
5.68,2,2,4,46/70,385.20
6.30,2,2,4,45/70,388.99
6.17,2,2,4,46/70,392.59
6.17,2,2,4,46/70,395.94
6.19,2,2,4,45/70,399.59
6.00,2,2,4,45/70,402.75
5.70,2,2,4,45/70,406.27
6.85,2,2,4,45/70,410.03
5.66,2,2,4,45/70,413.80
6.48,2,2,4,45/70,417.22
6.19,2,2,4,45/70,420.89
6.12,2,2,4,46/70,424.52
5.94,2,2,4,45/70,428.36
6.16,2,2,4,45/70,432.21
6.10,2,2,4,45/70,436.08
6.27,2,2,4,45/70,439.68
6.05,2,2,4,45/70,443.29
6.74,2,2,4,45/70,446.80
6.93,2,2,4,45/70,450.62
6.01,2,2,4,45/70,454.63
6.88,2,2,4,45/70,458.87
5.70,2,2,4,46/70,462.71
5.88,2,2,4,45/70,467.02
6.54,2,2,4,45/70,470.97
6.03,2,2,4,45/70,474.99
6.25,2,2,4,45/70,478.94
5.87,2,2,4,46/70,482.55
6.19,2,2,4,46/70,486.38
5.90,2,2,4,46/70,490.58
5.73,2,2,4,46/70,494.55
